75 130.00583410263062 Robot: (65, 8, [0, 0, 0, 0]) Solution: [65, 8] [0, 0, 0, 0]
33 28.95499873161316 Robot: (147, 190, [0, 1, 0, 1]) Solution: [147, 190] [0, 1, 0, 1]
48 42.07706046104431 Robot: (59, 177, [1, 0, 0, 0]) Solution: [59, 177] [1, 0, 0, 0]
58 50.90188241004944 Robot: (67, 138, [0, 1, 0, 0]) Solution: [67, 138] [0, 1, 0, 0]
80 70.47709012031555 Robot: (198, 58, [1, 0, 0, 0]) Solution: [198, 58] [1, 0, 0, 0]
102 89.91378211975098 Robot: (119, 119, [0, 1, 1, 0]) Solution: [119, 119] [0, 1, 1, 0]
53 46.60132098197937 Robot: (177, 89, [1, 0, 1, 0]) Solution: [177, 89] [1, 0, 1, 0]
34 29.896037101745605 Robot: (63, 69, [0, 0, 0, 0]) Solution: [63, 69] [0, 0, 0, 0]
70 61.310962438583374 Robot: (120, 102, [0, 0, 0, 1]) Solution: [120, 102] [0, 0, 0, 1]
54 47.56481409072876 Robot: (58, 129, [0, 0, 1, 0]) Solution: [58, 129] [0, 0, 1, 0]
28 24.54129385948181 Robot: (121, 150, [0, 1, 0, 0]) Solution: [121, 150] [0, 1, 0, 0]
33 28.93764328956604 Robot: (31, 160, [0, 1, 0, 1]) Solution: [31, 160] [0, 1, 0, 1]
39 34.090911865234375 Robot: (161, 200, [0, 1, 0, 1]) Solution: [161, 200] [0, 1, 0, 1]
38 33.34055495262146 Robot: (187, 52, [0, 1, 0, 0]) Solution: [187, 52] [0, 1, 0, 0]
31 27.19620156288147 Robot: (91, 190, [0, 1, 0, 1]) Solution: [91, 190] [0, 1, 0, 1]
35 30.634600162506104 Robot: (162, 104, [0, 1, 0, 0]) Solution: [162, 104] [0, 1, 0, 0]
39 34.14046001434326 Robot: (143, 137, [0, 0, 0, 1]) Solution: [143, 137] [0, 0, 0, 1]
30 26.6404230594635 Robot: (109, 27, [0, 1, 0, 1]) Solution: [109, 27] [0, 1, 0, 1]
38 33.32188701629639 Robot: (105, 143, [0, 0, 1, 1]) Solution: [105, 143] [0, 0, 1, 1]
42 36.859389543533325 Robot: (119, 68, [0, 1, 0, 1]) Solution: [119, 68] [0, 1, 0, 1]
44 38.75250506401062 Robot: (97, 119, [0, 0, 1, 1]) Solution: [97, 119] [0, 0, 1, 1]
45 39.38466000556946 Robot: (118, 159, [1, 0, 0, 0]) Solution: [118, 159] [1, 0, 0, 0]
51 44.736677169799805 Robot: (182, 80, [1, 1, 0, 0]) Solution: [182, 80] [1, 1, 0, 0]
38 33.2458553314209 Robot: (57, 123, [0, 0, 1, 0]) Solution: [57, 123] [0, 0, 1, 0]
58 50.87853527069092 Robot: (130, 147, [0, 0, 1, 0]) Solution: [130, 147] [0, 0, 1, 0]
44 38.55695581436157 Robot: (176, 114, [1, 0, 1, 0]) Solution: [176, 114] [1, 0, 1, 0]
FINISH
Iterations:  100
Map size (width height):  201 203
Mean of steps:  49.65
Mean of time per iteration:  48.79385759830475
Median of steps:  47.0
Median of time per iteration:  42.607735991477966
Total elapsed time:  4965.419324636459
Sensor reliability (higher is better):  0.6
